rank	delta
274.0	0.00137461834393
225.5	0.00111022545609
211.0	0.000548390569453
225.5	0.00111022545609
225.5	0.00111022545609
225.5	0.00111022545609
357.0	0.00267455004243
274.0	0.00137461834393
274.0	0.00137461834393
118.5	-0.000299869945673
354.0	0.00260110757359
55.5	-0.00194498124773
252.0	0.0013378971095
252.0	0.0013378971095
79.5	-0.00148963794091
252.0	0.0013378971095
55.5	-0.00194498124773
55.5	-0.00194498124773
55.5	-0.00194498124773
55.5	-0.00194498124773
252.0	0.0013378971095
252.0	0.0013378971095
252.0	0.0013378971095
195.0	0.000295014051948
195.0	0.000295014051948
195.0	0.000295014051948
332.0	0.00224858372315
21.0	-0.00246642277651
21.0	-0.00246642277651
91.5	-0.000824983597893
21.0	-0.00246642277651
44.5	-0.00205881707444
21.0	-0.00246642277651
21.0	-0.00246642277651
91.5	-0.000824983597893
21.0	-0.00246642277651
21.0	-0.00246642277651
21.0	-0.00246642277651
91.5	-0.000824983597893
21.0	-0.00246642277651
195.0	0.000295014051948
332.0	0.00224858372315
348.5	0.00256805846261
195.0	0.000295014051948
332.0	0.00224858372315
109.5	-0.000461443377125
21.0	-0.00246642277651
21.0	-0.00246642277651
300.0	0.00171979794748
357.0	0.00267455004243
274.0	0.00137461834393
274.0	0.00137461834393
300.0	0.00171979794748
225.5	0.00111022545609
225.5	0.00111022545609
364.5	0.00472726704656
364.5	0.00472726704656
300.0	0.00171979794748
274.0	0.00137461834393
364.5	0.00472726704656
364.5	0.00472726704656
212.0	0.00107717634512
274.0	0.00137461834393
73.5	-0.00173567021153
289.5	0.00166104397241
300.0	0.00171979794748
195.0	0.000295014051948
225.5	0.00111022545609
274.0	0.00137461834393
274.0	0.00137461834393
118.5	-0.000299869945673
225.5	0.00111022545609
225.5	0.00111022545609
225.5	0.00111022545609
118.5	-0.000299869945673
348.5	0.00256805846261
195.0	0.000295014051948
332.0	0.00224858372315
109.5	-0.000461443377125
348.5	0.00256805846261
195.0	0.000295014051948
332.0	0.00224858372315
109.5	-0.000461443377125
289.5	0.00166104397241
225.5	0.00111022545609
225.5	0.00111022545609
225.5	0.00111022545609
304.5	0.00173815856469
361.0	0.00346405658248
274.0	0.00137461834393
357.0	0.00267455004243
274.0	0.00137461834393
348.5	0.00256805846261
195.0	0.000295014051948
332.0	0.00224858372315
109.5	-0.000461443377125
195.0	0.000295014051948
73.5	-0.00173567021153
49.0	-0.00201107946969
195.0	0.000295014051948
195.0	0.000295014051948
348.5	0.00256805846261
195.0	0.000295014051948
348.5	0.00256805846261
195.0	0.000295014051948
225.5	0.00111022545609
195.0	0.000295014051948
21.0	-0.00246642277651
49.0	-0.00201107946969
195.0	0.000295014051948
195.0	0.000295014051948
332.0	0.00224858372315
121.0	-0.000219083229947
332.0	0.00224858372315
332.0	0.00224858372315
332.0	0.00224858372315
332.0	0.00224858372315
332.0	0.00224858372315
332.0	0.00224858372315
77.5	-0.00162183438483
225.5	0.00111022545609
225.5	0.00111022545609
62.5	-0.00189724364299
21.0	-0.00246642277651
49.0	-0.00201107946969
109.5	-0.000461443377125
109.5	-0.000461443377125
69.5	-0.00175403082875
85.0	-0.00129868752192
300.0	0.00171979794748
210.0	0.000416194125537
369.0	0.00591336291836
369.0	0.00591336291836
122.0	-0.000197050489294
369.0	0.00591336291836
274.0	0.00137461834393
274.0	0.00137461834393
274.0	0.00137461834393
81.5	-0.0014712773237
274.0	0.00137461834393
274.0	0.00137461834393
118.5	-0.000299869945673
86.0	-0.00125829416406
321.0	0.0020356005635
