date	q	qr
20121211162900	0.409393023415	0.572331802216
20121212214600	0.408557083043	0.568893639765
20121213191900	0.409161749118	0.575114617763
20121215021900	0.409229450991	0.574997342405
20121215114000	0.409099875624	0.570858814145
20121216011500	0.409027185102	0.570805868595
20121216180700	0.407968300311	0.568642001484
20121217163200	0.407936390446	0.572086620427
20121218112800	0.406667558818	0.57564224548
20121218205200	0.405670370596	0.556664215944
20121219115900	0.406551843296	0.57049163125
20121219200000	0.406551843296	0.570514165792
20121220200200	0.406478364537	0.576129099864
20121221231700	0.407068915863	0.572835883463
20121222193400	0.407031465292	0.573877037581
20121223115400	0.406633447055	0.57292430112
20121223225900	0.406699916544	0.573118392128
20121224095400	0.406819720877	0.573312401884
20121225145600	0.407024329953	0.573851146237
20121226100600	0.406856001909	0.573633272299
20121226205200	0.406714799829	0.573624764694
20121227100800	0.404432487306	0.55679916318
20121229215100	0.406335353928	0.571054560687
20121230111900	0.404544159205	0.565117971105
20121231094200	0.403422967852	0.557108109507
20121231171000	0.402491147045	0.563777089783
20130102094700	0.402682349922	0.556220960248
20130104114300	0.403332743925	0.558295501444
20130105000900	0.403318202737	0.558225889634
20130105224900	0.403536440924	0.558756712102
20130106220800	0.403055512777	0.559459598295
20130109105200	0.397713076492	0.540368883695
20130113204800	0.394630880363	0.530827514485
20130114184300	0.398372346582	0.567495690717
20130115200300	0.398151238462	0.569473165928
20130116145900	0.393946896175	0.558742308997
20130117221000	0.393295369164	0.557038541516
20130119002200	0.391594684666	0.547171620326
20130119152600	0.392353460301	0.556903386026
20130120002800	0.393846054141	0.558741424178
20130120160000	0.391708854978	0.5290778822
20130121181100	0.393528266282	0.528921023359
20130122004300	0.393325586201	0.528806965543
20130122192100	0.392250456113	0.527220762458
20130123191900	0.392541082117	0.527780337234
20130124210400	0.392256371773	0.527123942626
20130125143700	0.391635845182	0.526610387227
20130126104400	0.391055593212	0.525904248022
20130126205800	0.39258737434	0.529528985507
20130127110900	0.392738591874	0.52985378661
20130127191200	0.392037237636	0.52973021745
20130128180200	0.392615759574	0.530666426675
20130129162500	0.390771348221	0.528169638896
20130131000400	0.389175155393	0.528396583605
20130131120000	0.389524839519	0.529634522237
20130201000000	0.389785036988	0.530188928524
20130201120000	0.389618448981	0.528703296703
20130202000000	0.389010740521	0.528163766274
20130202120000	0.385219061107	0.540765972313
20130203000000	0.385071713893	0.540677374302
20130203120000	0.386171162466	0.536195027842
20130204000000	0.385384057526	0.540534647421
20130204120000	0.38840616098	0.528565825598
20130205000000	0.385854299827	0.536447459986
20130205120000	0.385435097452	0.534329914827
20130206000000	0.382922173527	0.537217248389
20130206120000	0.385219300279	0.530311541287
20130207000000	0.386100158746	0.53015681544
20130207120000	0.384547918568	0.536739701261
20130208000000	0.386863446493	0.53046303818
20130208120000	0.386727146229	0.53030561721
20130209000000	0.387650968948	0.536669181125
20130209120000	0.387093951898	0.5349070399
20130210000000	0.387254341325	0.535048876264
20130210120000	0.386610654382	0.526992073425
20130211000000	0.383333887778	0.522281785817
20130211120000	0.373984938443	0.55886797076
20130212000000	0.373494719957	0.558912386707
20130212120000	0.37834731052	0.545343237287
20130213000000	0.382791094393	0.525847715736
